"season","game_type","week","gameday","away_team","away_score","home_team","home_score","location","overtime","winner","loser","away_offensive_epa","away_passing_epa","away_rushing_epa","away_defensive_epa","away_defensive_pass_epa","away_defensive_rush_epa","home_offensive_epa","home_passing_epa","home_rushing_epa","home_defensive_epa","home_defensive_pass_epa","home_defensive_rush_epa"
2001,"WC",18,"2002-01-12","NYJ",24,"OAK",38,"Home",0,"OAK","NYJ",-0.0145671686250718,0.00726573806810233,-0.0792132661672408,-0.0281346083537617,-0.0421155523106882,-0.0543986360998213,NA,NA,NA,NA,NA,NA
2001,"WC",18,"2002-01-13","SF",15,"GB",25,"Home",0,"GB","SF",0.0854403458075371,0.173281525939275,-0.00278482200974909,-0.017011220946041,0.00153906554799682,-0.163969079491965,0.0546139200426336,0.196194843278132,-0.149282572734701,-0.0650896725513187,-0.114124100463473,-0.0942401774965821
2001,"WC",18,"2002-01-13","BAL",20,"MIA",3,"Home",0,"BAL","MIA",-0.0548047848761844,-0.0353052808178256,-0.16596962447217,-0.116896177407152,-0.102947630269762,-0.226619901606359,0.0146705018658375,0.0678574316931256,-0.130855979360399,-0.0301540617492618,0.005694286552199,-0.122151357870905
2001,"DIV",19,"2002-01-19","PHI",33,"CHI",19,"Home",0,"PHI","CHI",0.016103005910408,0.0309785019440844,-0.150591167240176,-0.0883529245576594,-0.0933864809501615,-0.146849391058642,-0.013335248421668,-0.0349524365988716,-0.096403158310408,-0.122740469264763,-0.0845529114893715,-0.267997132682142
2001,"DIV",19,"2002-01-19","OAK",13,"NE",16,"Home",1,"NE","OAK",NA,NA,NA,NA,NA,NA,0.0248137537784809,0.0573134872214479,-0.10676693762908,-0.0546833229310983,-0.0514352991840824,-0.118608435054466
2001,"DIV",19,"2002-01-20","BAL",10,"PIT",27,"Home",0,"PIT","BAL",-0.0548047848761844,-0.0353052808178256,-0.16596962447217,-0.116896177407152,-0.102947630269762,-0.226619901606359,0.0471606035050859,0.156773658933054,-0.0393749906095799,-0.108670167902704,-0.114089520691584,-0.213118769087755
2001,"DIV",19,"2002-01-20","GB",17,"STL",45,"Home",0,"STL","GB",0.0546139200426336,0.196194843278132,-0.149282572734701,-0.0650896725513187,-0.114124100463473,-0.0942401774965821,NA,NA,NA,NA,NA,NA
2001,"CON",20,"2002-01-27","NE",24,"PIT",17,"Home",0,"NE","PIT",0.0248137537784809,0.0573134872214479,-0.10676693762908,-0.0546833229310983,-0.0514352991840824,-0.118608435054466,0.0471606035050859,0.156773658933054,-0.0393749906095799,-0.108670167902704,-0.114089520691584,-0.213118769087755
2001,"CON",20,"2002-01-27","PHI",24,"STL",29,"Home",0,"STL","PHI",0.016103005910408,0.0309785019440844,-0.150591167240176,-0.0883529245576594,-0.0933864809501615,-0.146849391058642,NA,NA,NA,NA,NA,NA
2001,"SB",21,"2002-02-03","STL",17,"NE",20,"Neutral",0,"NE","STL",NA,NA,NA,NA,NA,NA,0.0248137537784809,0.0573134872214479,-0.10676693762908,-0.0546833229310983,-0.0514352991840824,-0.118608435054466
2002,"WC",18,"2003-01-04","IND",0,"NYJ",41,"Home",0,"NYJ","IND",0.0161506805318279,0.112482823161097,-0.138916657785934,-0.0407476305741559,-0.0709408263780066,-0.0546017129496578,0.0797769814603951,0.135121770522187,-0.052384650335936,0.011610479714035,0.0816398617120132,-0.120613756661034
2002,"WC",18,"2003-01-04","ATL",27,"GB",7,"Home",0,"ATL","GB",0.044769869529453,0.0946593566318774,-0.0414439031461004,-0.0327783572079271,-0.0189734513051817,-0.087912365069625,0.0204735988787362,0.0721802735924458,-0.0832267495724493,-0.0363845707457136,-0.0990484618014767,-0.0420747708809114
2002,"WC",18,"2003-01-05","CLE",33,"PIT",36,"Home",0,"PIT","CLE",0.0178804467493137,0.0528241812169885,-0.0677641662399833,-0.0198964000765058,-0.00171269510844672,-0.0587288775285097,0.0310887429746025,0.0780249870700773,-0.0750055490551422,-0.0332447351761145,-0.048619022556268,-0.163220519626946
2002,"WC",18,"2003-01-05","NYG",38,"SF",39,"Home",0,"SF","NYG",0.000542408868784086,0.150134374402379,-0.178147387993097,-0.035297705244171,0.00928251366288165,-0.164518487312326,0.057795921289705,0.15805721191381,0.00791533377727474,0.0478576712682261,0.135445642979635,-0.108004793520428
2002,"DIV",19,"2003-01-11","PIT",31,"TEN",34,"Home",1,"TEN","PIT",0.0310887429746025,0.0780249870700773,-0.0750055490551422,-0.0332447351761145,-0.048619022556268,-0.163220519626946,0.0265977925438521,0.147053796403869,-0.093886874665295,-0.0256193326037568,0.0598432738536379,-0.219799834064865
2002,"DIV",19,"2003-01-11","ATL",6,"PHI",20,"Home",0,"PHI","ATL",0.044769869529453,0.0946593566318774,-0.0414439031461004,-0.0327783572079271,-0.0189734513051817,-0.087912365069625,0.0375098869974173,0.0392521761223453,-0.0408327160731136,-0.131546722106184,-0.133528273723064,-0.258208949687339
2002,"DIV",19,"2003-01-12","SF",6,"TB",31,"Home",0,"TB","SF",0.057795921289705,0.15805721191381,0.00791533377727474,0.0478576712682261,0.135445642979635,-0.108004793520428,-0.0246441857553196,0.0209402192265481,-0.14633395441692,-0.153276434284058,-0.290458418984598,-0.0756830674255356
2002,"DIV",19,"2003-01-12","NYJ",10,"OAK",30,"Home",0,"OAK","NYJ",0.0797769814603951,0.135121770522187,-0.052384650335936,0.011610479714035,0.0816398617120132,-0.120613756661034,NA,NA,NA,NA,NA,NA
2002,"CON",20,"2003-01-19","TB",27,"PHI",10,"Home",0,"TB","PHI",-0.0246441857553196,0.0209402192265481,-0.14633395441692,-0.153276434284058,-0.290458418984598,-0.0756830674255356,0.0375098869974173,0.0392521761223453,-0.0408327160731136,-0.131546722106184,-0.133528273723064,-0.258208949687339
2002,"CON",20,"2003-01-19","TEN",24,"OAK",41,"Home",0,"OAK","TEN",0.0265977925438521,0.147053796403869,-0.093886874665295,-0.0256193326037568,0.0598432738536379,-0.219799834064865,NA,NA,NA,NA,NA,NA
